Item,Size,Quantity ,CAT No.,Vendor , Unit Price ,Initial,Date Requested ,Status ,Order Date,GR #,Order # ,Expected Delivery Date,Tracking #,Storage,Comments ,Link,Received (initial/date),Stored
Pierce™ Unstained Protein MW Marker,2 x 1mL,1,26610,Thermo Fisher,$96.00 ,IA,12-Dec-25,Received,7-Jan-26,,15164644,,,,,,,
"Pure Ponta Weigh Boats Medium - 125 Pack 100 ml Plastic Disposable Trays for Scale, Square Weighing Dishes for Powder Weight, Epoxy, Food Samples - Pour Boat Tray, Anti-Static Lab Dish Container",Pack of 125,2,,Amazon,$15.89 ,GH,15-Dec-25,Received,7-Jan-26,,,,,,,,,
"Cole-Parmer 81 PLACE CELL DIVIDER DOZEN (4-7/8"" X 4-7/8"" X 1-5/16"")",Pack of 12,1,NC0874396,Fisher Sci,$32.90 ,GH ,15-Dec-25,Received,29-Dec-25,,,,,,,,,
Promega Wizard™ Plus SV Minipreps DNA Purification System,250 preps,1,PR-A1460,Fisher Sci,$455.57 ,RG,24-Dec-25,Received,29-Dec-25,,,,,,,,,
Fisherbrand™ Electroporation Cuvettes Plus™,400 uL x 2mm,1,FB102,Fisher Sci,$184.31 ,RG,24-Dec-25,Received,29-Dec-25,,,,,,,,,
"Nalgene™ General Long-Term Storage Cryogenic Tubes, sterile, 2.0mL, ext. thread, conical bottom",Case of 500,1,5000-0020,Thermo Fisher,$378.00 ,RG,24-Dec-25,Cancelled,,,,,,,,,,
"Pierce™ Disposable Columns, 10 mL",100,1,29924,Thermo Fisher,$349.00 ,MK,24-Dec-25,Received,29-Dec-25,,,,,,,,,
BD Detergent Solution Concentrate,1,1,660585,BD Bio,$86.00 ,MK,2-Jan-26,Received,,,,,,,,,,
"Filters for Sheath, Detergent Solution and FACSClean bottles (3 pieces)",3 pc,2,660322,BD Bio,$40.00 ,MK,2-Jan-26,Do not order yet,,,,,,,,,,
"Sheath Filter, In-Line",1,1,653148,BD Bio,$55.00 ,MK,2-Jan-26,Do not order yet,,,,,,,,,,
Peristaltic Pump Tubing (2 pieces),2 pc,2,659522,BD Bio,$227.65 ,MK,2-Jan-26,Do not order yet,,,,,,,,,,
"Thermo Scientific Chemicals L-(+)-Arabinose, 99%",50 g,1,AAA1192118,Fisher Sci,$96.57 ,MK,7-Jan-26,Received,7-Jan-26,,D60079240,,,,,,,
BL21(DE3) Competent Cells,10 x 100 uL,1,EC0114,Thermo Fisher,$169.00 ,MK,7-Jan-26,Received,7-Jan-26,,15164644,,,,,,,
"Thermo Scientific™ Nalgene™ Rapid-Flow™ Sterile Disposable Bottle Top Filters with PES, CN, SFCA or Nylon Membranes (45 mm Neck)",Case of 12,2,09-741-07,Fisher Sci,$94.84 ,GH ,9-Jan-26,Received,14-Jan-26,,D60144188,,,,,,,
"Thermo Scientific™ Nalgene™ Rapid-Flow™ Sterile Disposable Bottle Top Filters with PES, CN, SFCA or Nylon Membranes (33 mm Neck)",Case of 12,2,09-741-06,Fisher Sci,$103.67 ,GH ,9-Jan-26,Received,14-Jan-26,,D60144188,,,,,,,
6x-His Tag Recombinant Superclonal™ Antibody (21HCLC),200 uL,1,710286,AbCam,$510.00 ,MK,9-Jan-26,Received,13-Jan-26,,,,,,,https://www.thermofisher.com/antibody/product/6x-His-Tag-Antibody-clone-21HCLC-Recombinant-Superclonal/710286?,,
Anti Rabbit AF647 --BAD LINK,,,,AbCam,,MK,9-Jan-26,Received,13-Jan-26,,,,,,,https://www.thermofisher.com/antibody/product/Goat-anti-Rabbit-IgG-H-L-Cross-Adsorbed-Secondary-Antibody-,,
Anti Rabbit AF488 --BAD LINK,,,,AbCam,,MK,9-Jan-26,Received,13-Jan-26,,,,,,,https://www.thermofisher.com/antibody/product/Goat-anti-Rabbit-IgG-H-L-Cross-Adsorbed-Secondary-Antibody-,,
"DYKDDDDK Tag Recombinant Rat Monoclonal Antibody (L5), Alexa Fluor™ Plus 555",50 uL,1,750039TP555,Thermo Fisher,$379.00 ,MK,9-Jan-26,Received,12-Jan-26,,15186691,,,,,https://www.thermofisher.com/antibody/product/DYKDDDDK-Tag-Antibody-clone-L5-Recombinant-Monoclonal/750039TP555,,
"Streptavidin, Alexa Fluor™ 555 Conjugate",1 mg,1,S21381,AbCam,$359.00 ,MK,9-Jan-26,Received,,,,,,,,https://www.thermofisher.com/order/catalog/product/S21381,,
"Streptavidin, R-PE",1 mg,1,S21381,AbCam,$359.00 ,MK,9-Jan-26,Received,,,,,,,,,,
"Falcon™ Disposable Polystyrene Serological Pipets, Sterile (50 mL)",Case of 200,1,13-675-27,Fisher Sci,$150.66 ,GH,12-Jan-26,Received,14-Jan-26,,D60144188,,,,,,,
"Bel-Art™ SP Scienceware™ Benchtop Biohazard Waste Disposal Bags, Bright red; W x H: 8.5 x 11 in. (22 x 28cm); 100 per pack",Pack of 100,1,03-410-591,Fisher Sci,$33.34 ,GH,14-Jan-26,Received,14-Jan-26,,D60144188,,,,,,,
"Fisherbrand™ SureOne™ Beveled Pipette Tips, Universal Fit (200 ?L)",Case of 5 PK (960/PK),1,02-707-420,Fisher Sci,$156.32 ,GH,20-Jan-26,Received,28-Jan-26,,D60289768,,,,,,,
"Falcon™ Disposable Polystyrene Serological Pipets, Sterile (10 mL)",Case of 200,1,13-675-20,Fisher Sci,$52.33 ,GH,20-Jan-26,Received,28-Jan-26,,D60289768,,,,,,,
Basix™ Polypropylene Conical Centrifuge Tubes (15 mL),Case of 500,1,14-955-237,Fisher Sci,$80.67 ,GH,20-Jan-26,Received,28-Jan-26,,D60289768,,,,,,,
Basix™ Polypropylene Conical Centrifuge Tubes (50 mL),Case of 500,1,14-955-239,Fisher Sci,$98.07 ,GH,20-Jan-26,Received,28-Jan-26,,D60289768,,,,,,,
Thermo Scientific Chemicals Agar powder,500 g,1,AAA1075236,Fisher Sci,$162.07 ,GH ,20-Jan-26,Received,28-Jan-26,,D60289768,,,,,,,
NEBuilder® HiFi DNA Assembly Master Mix,10 rxns,1,E2621S,NEB,$186.00 ,GH,20-Jan-26,Received,4-Feb-26,,7319592,,,,,,,
"Pure Ponta Weigh Boats Medium - 125 Pack 100 ml Plastic Disposable Trays for Scale, Square Weighing Dishes for Powder Weight, Epoxy, Food Samples - Pour Boat Tray, Anti-Static Lab Dish Container",Pack of 125,2,,Amazon,$15.89 ,GH ,20-Jan-26,Received,28-Jan-26,,,,,,,,,
"Reynolds Wrap Aluminum Foil, 200 Square Feet",200 sqft,2,,Amazon,$10.46 ,GH,20-Jan-26,Received,28-Jan-26,,,,,,,,,
"Goat anti-Mouse IgG (H+L) Highly Cross-Adsorbed Secondary Antibody, Alexa Fluor™ 488",1 mg,1,A-11029,Thermo Fisher,$349.00 ,MK,19-Jan-26,Received,20-Jan-26,,15228333,,,,,,,
"Dextrose Anhydrous (Crystalline Granules/Molecular Biology), Fisher BioReagents",500 g,1,BP350-500,Fisher Sci,$48.05 ,GH ,27-Jan-26,Received,28-Jan-26,,,,,,,,,
"Fisherbrand™ SureOne™ Beveled Pipette Tips, Universal Fit (1000 ?L)",Pack of 1000,2,02-707-400,Fisher Sci,$17.42 ,GH ,27-Jan-26,Received,28-Jan-26,,D60289768,,,,,,,
