Item,Size,Quantity ,CAT No.,Vendor , Unit Price ,Initial,Date Requested ,Status ,Order Date,GR #,Order # ,Expected Delivery Date,Tracking #,Storage,Comments ,Link,Received (initial/date),Stored
"Fisherbrand™ SureOne™ Beveled Pipette Tips, Universal Fit (1000 ?L)",Pack of 1000,1,02-707-400,Fisher Sci,$17.42 ,GH ,23-May-25,Received,11-Jul-25,,D51921698,,,,,,,
Fisherbrand™ Disposable Cuvettes,Case of 500,1,14-955-129,Fisher Sci,$122.36 ,GH,7-Jul-25,Received,11-Jul-25,,D51921698,,,,,,,
Fisherbrand™ Elite Pipette Kit,"Pack of 4 (0.2-2 ?L, 2-20 ?L, 20-200 ?L, 100-1000 ?L)",3,14-388-100,Fisher Sci,"$1,012.31 ",MRS,12-Aug-25,Received,18-Aug-25,,D52305462,,,,,,,
TACE substrate (fluorogenic),1 tube,1,BML-P132,Enzo,$179.00 ,MK,11-Aug-25,Back order,13-Aug-25,,2231170,,,,,https://www.enzo.com/product/tace-substrate-fluorogenic/,,
"Thermo Scientific™ Nalgene™ Rapid-Flow™ Sterile Disposable Bottle Top Filters with PES, CN, SFCA or Nylon Membranes (45 mm Neck)",Case of 12,2,09-741-07,Fisher Sci,$94.84 ,GH ,12-Aug-25,Received,18-Aug-25,,D52305462,,,,,,,
"Thermo Scientific™ Nalgene™ Rapid-Flow™ Sterile Disposable Bottle Top Filters with PES, CN, SFCA or Nylon Membranes (33 mm Neck)",Case of 12,2,09-741-06,Fisher Sci,$99.68 ,GH ,12-Aug-25,Received,18-Aug-25,,D52305462,,,,,,,
"Fisherbrand™ SureOne™ Beveled Pipette Tips, Universal Fit (1000 ?L)",Pack of 1000,4,02-707-400,Fisher Sci,$17.42 ,GH ,12-Aug-25,Received,18-Aug-25,,D52305462,,,,,,,
Basix™ Microcentrifuge Tubes with Standard Snap Caps (0.5 mL),Pack of 500,4,02-682-000,Fisher Sci,$14.68 ,GH,12-Aug-25,Received,18-Aug-25,,D52305462,,,,,,,
"BrandTech™ BRAND™ Pipet Tips, 2 to 200uL: Standard Retention",Pack of 1000,2,13-889-143,Fisher Sci,$23.59 ,GH,12-Aug-25,Received,18-Aug-25,,D52305462,,,,,,,
"6x-His Tag Monoclonal Antibody (4E3D10H2/E3), Alexa Fluor™ 647",50 µL,1,MA1135A647,Thermo Fisher,$402.00 ,GH ,12-Aug-25,Sent to Dr. MRS,,,,,,,,,,
"Falcon™ Disposable Polystyrene Serological Pipets, Sterile (10 mL)",Case of 200,1,13-675-20,Fisher Sci,$48.92 ,GH,12-Aug-25,Received,18-Aug-25,,D52305462,,,,,,,
"Falcon™ Disposable Polystyrene Serological Pipets, Sterile (50 mL)",Case of 200,1,13-675-27,Fisher Sci,$140.88 ,GH,12-Aug-25,Received,18-Aug-25,,D52305462,,,,,,,
Globe Scientific 1.5 mL microfuge tubes,Pack of 500,4,22-010-090,Fisher Sci,$19.31 ,GH,12-Aug-25,Received,18-Aug-25,,D52305462,,,,,,,
Thermo Scientific™ Titan3™ PTFE (Hydrophilic) Syringe Filters,Pack of 100,1,03-050-489,Fisher Sci,$295.89 ,GH,12-Aug-25,Received,18-Aug-25,,D52305462,,,,,,,
Globe Scientific Certified Microcentrifuge Tubes in Self-Standing Bags (Amber),Pack of 500,1,22-010-1207,Fisher Sci,$23.31 ,GH,12-Aug-25,Received,18-Aug-25,,D52305462,,,,,,,
"Thermo Scientific™ SnakeSkin™ Dialysis Tubing (16 mm I.D., 10 kDa, Dialysis Tubing)",1 roll,2,PI88243,Fisher Sci,$208.40 ,GH ,12-Aug-25,Received,18-Aug-25,,D52305462,,,,,,,
MilliporeSigma™ Amicon™ Ultra-4 Centrifugal Filter Units,Pack of 24,1,UFC801024,Fisher Sci,$168.96 ,GH,12-Aug-25,Received,18-Aug-25,,D52305462,,,,,,,
Fisherbrand™ Comfort Nitrile Gloves (Large),Case of 10,1,19-041-171D,Fisher Sci,$93.56 ,GH,12-Aug-25,Received,18-Aug-25,,D52305462,,,,,,,
Fisherbrand™ Disposable Cuvettes,Case of 500,1,14-955-129,Fisher Sci,$86.46 ,GH,12-Aug-25,Received,18-Aug-25,,D52305462,,,,,,,
"MilliporeSigma™ Tris Base, ULTROL™ Grade, Calbiochem™",1 kg,1,64-831-11KG,Fisher Sci,$166.38 ,LME,27-Aug-25,Received,15-Sep-25,,D52584299,,,,,,,
Alkaline protease solution,3 mL,1,A1441,Promega,$57.00 ,MK,27-Aug-25,Received,15-Sep-25,,4141579,,,,,https://www.promega.com/products/nucleic-acid-extraction/plasmid-purification/alkaline-protease-solution/?catNum=A1441,,
Corning™ Eagle's Minimum Essential Medium (MEM),6x 500 ml,1,MT10009CV,Fisher Sci,$188.80 ,ET,2-Sep-25,Received,15-Sep-25,,D52584299,,,,,https://ecatalog.corning.com/life-sciences/b2c/US/en/Media%2C-Sera%2C-and-Reagents/Classical-Media/Minimum-Essential-Medium/Corning%C2%AE-MEM-%28Minimum-Essential-Medium%29/p/10-009-CV,,
FreeStyle™ 293 Expression Medium,1 L,2,12-338-018,Fisher Sci,$195.55 ,ET,2-Sep-25,Received,15-Sep-25,,D52584299,,,,,,,
