Folder,Target,Date,Tokens,Provenance,Vendor,Confidence,Basis,In_Calibration_Scope
ADAM10_20260403_Renamed,ADAM10,20260403,,Purchased,Enzo,High,notebook-date-rule,True
ADAM10_20260407_Renamed,ADAM10,20260407,,Purchased,Enzo,High,notebook-date-rule,True
ADAM10_20260509_Sam-FLAG_Renamed,ADAM10,20260509,Sam,In-house,Sam,High,folder-token,False
ADAM10_20260610_AbC_G_Renamed,ADAM10,20260610,AbC_G,Purchased,Abcam,High,folder-token,True
ADAM10_20260610_AbC_R_Renamed,ADAM10,20260610,AbC_R,Purchased,Abcam,High,folder-token,True
ADAM10_20260610_F6_G_Renamed,ADAM10,20260610,F6_G,In-house,FPLC-fraction,High,folder-token,False
ADAM10_20260610_F6_R_Renamed,ADAM10,20260610,F6_R,In-house,FPLC-fraction,High,folder-token,False
ADAM10_20260610_F9_G_Renamed,ADAM10,20260610,F9_G,In-house,FPLC-fraction,High,folder-token,False
ADAM10_20260610_F9_R_Renamed,ADAM10,20260610,F9_R,In-house,FPLC-fraction,High,folder-token,False
ADAM10_20260701_Abcam_Renamed,ADAM10,20260701,Abcam,Purchased,Abcam,High,folder-token,True
ADAM10_20260701_Abcam_T1_Renamed,ADAM10,20260701,Abcam_T1,Purchased,Abcam,High,folder-token,True
ADAM10_20260701_Abcam_T2_Renamed,ADAM10,20260701,Abcam_T2,Purchased,Abcam,High,folder-token,True
ADAM17_20260403_Renamed,ADAM17,20260403,,Purchased,Enzo,Medium,notebook-date-rule,True
ADAM17_20260407_Renamed,ADAM17,20260407,,Purchased,Enzo,Medium,notebook-date-rule,True
ADAM17_20260416_Renamed,ADAM17,20260416,,Purchased,Enzo,Medium,notebook-date-rule,True
ADAM17_20260509_Enzo_Renamed,ADAM17,20260509,Enzo,Purchased,Enzo,High,folder-token,True
ADAM17_20260509_Sam_Renamed,ADAM17,20260509,Sam,In-house,Sam,High,folder-token,False
ADAM17_20260509_SinoThaw_Renamed,ADAM17,20260509,SinoThaw,Purchased,Sino,High,folder-token,True
