original_design,original_ion,new_ion,swapped_design_id,structural_deviation_rmsd,plddt,new_binding_radius,coordination_number,net_charge,bidentate_count
CA_cfg23_des13,CA,CE,CA_cfg23_des13_swapped_CE,,0.8646,13.15797,1.0,0.0,0.25
CA_cfg23_des13,CA,CO,CA_cfg23_des13_swapped_CO,,0.8706,15.726043,0.0,0.0,0.0
CA_cfg23_des13,CA,CU,CA_cfg23_des13_swapped_CU,,0.8595,15.013165,0.0,0.0,0.0
CA_cfg23_des13,CA,DY,CA_cfg23_des13_swapped_DY,,0.8691,14.039937,0.5,0.0,0.25
CA_cfg23_des13,CA,ER,CA_cfg23_des13_swapped_ER,0.807210385799408,0.8679,10.894801,1.0,0.0,0.25
CA_cfg23_des13,CA,EU,CA_cfg23_des13_swapped_EU,,0.8679,16.333323,0.0,0.0,0.0
CA_cfg23_des13,CA,FE,CA_cfg23_des13_swapped_FE,,0.864,17.158617,1.0,0.0,0.25
CA_cfg23_des13,CA,GD,CA_cfg23_des13_swapped_GD,,0.8675,24.996572,0.0,0.0,0.0
CA_cfg23_des13,CA,HO,CA_cfg23_des13_swapped_HO,,0.8674,25.222628,0.0,0.0,0.0
CA_cfg23_des13,CA,LA,CA_cfg23_des13_swapped_LA,,0.8689,11.854862,1.0,0.0,0.25
CA_cfg23_des13,CA,LU,CA_cfg23_des13_swapped_LU,,0.8652,25.38339,0.0,0.0,0.0
CA_cfg23_des13,CA,MN,CA_cfg23_des13_swapped_MN,,0.8647,17.410585,1.0,0.0,0.25
CA_cfg23_des13,CA,ND,CA_cfg23_des13_swapped_ND,,0.8665,15.890549,0.0,0.0,0.0
CA_cfg23_des13,CA,NI,CA_cfg23_des13_swapped_NI,,0.8702,19.547218,0.0,0.0,0.0
CA_cfg23_des13,CA,PM,CA_cfg23_des13_swapped_PM,1.9157410860061646,0.8638,19.551483,0.0,0.0,0.0
CA_cfg23_des13,CA,PR,CA_cfg23_des13_swapped_PR,,0.868,11.583219,1.0,0.0,0.25
CA_cfg23_des13,CA,SM,CA_cfg23_des13_swapped_SM,,0.8678,25.181238,0.0,0.0,0.0
CA_cfg23_des13,CA,TB,CA_cfg23_des13_swapped_TB,,0.8671,19.16631,0.0,0.0,0.0
CA_cfg23_des13,CA,TM,CA_cfg23_des13_swapped_TM,0.473906010389328,0.8673,11.148639,1.0,0.0,0.25
CA_cfg23_des13,CA,YB,CA_cfg23_des13_swapped_YB,,0.8694,19.13988,0.0,0.0,0.0
CA_cfg23_des13,CA,ZN,CA_cfg23_des13_swapped_ZN,,0.8652,15.552352,0.0,0.0,0.0
CA_cfg25_des19,CA,CE,CA_cfg25_des19_swapped_CE,,0.8617,9.889345,1.0,0.0,0.5
